C;Si;Mn;P;S;MG;Cr;Ni;Mo;Cu;Al;ZugfestigIst;DehnungIst;Dehngr02Ist
3,64;2,15;0,097;0,029;0,0079;0,047;0,024;0,011;0,001;0,051;0,022;400,4;24,2;261,6
3,68;2,12;0,108;0,03;0,0084;0,047;0,029;0,015;0,001;0,074;0,02;401,8;24,8;259
3,71;2,09;0,119;0,029;0,0113;0,04;0,02;0,012;0,001;0,071;0,023;402,1;20,5;269,1
3,71;2,09;0,119;0,029;0,0113;0,04;0,02;0,012;0,001;0,071;0,023;402,1;20,5;269,1
3,59;2,1;0,105;0,027;0,0098;0,049;0,019;0,009;0,001;0,057;0,015;402,8;24,3;261,8
3,66;2,41;0,239;0,028;0,0107;0,042;0,019;0,008;0,001;0,349;0,019;403,3;24,7;261,7
3,66;2,41;0,239;0,028;0,0107;0,042;0,019;0,008;0,001;0,349;0,019;403,3;24,7;261,7
3,66;2,41;0,239;0,028;0,0107;0,042;0,019;0,008;0,001;0,349;0,019;403,3;24,7;261,7
3,6;2,13;0,092;0,032;0,0095;0,053;0,021;0,017;0,002;0,06;0,019;403,7;23,3;267,9
3,68;2,04;0,092;0,029;0,0092;0,047;0,021;0,008;0,001;0,05;0,018;404,1;19,1;271,2
3,68;2,04;0,092;0,029;0,0092;0,047;0,021;0,008;0,001;0,05;0,018;404,1;19,1;271,2
3,68;2,04;0,092;0,029;0,0092;0,047;0,021;0,008;0,001;0,05;0,018;404,1;19,1;271,2
3,68;2,04;0,092;0,029;0,0092;0,047;0,021;0,008;0,001;0,05;0,018;404,1;19,1;271,2
3,61;2,13;0,121;0,03;0,0095;0,048;0,025;0,028;0,002;0,111;0,019;404,8;19,8;261,7
3,76;2,15;0,102;0,029;0,0089;0,052;0,02;0,008;0,001;0,05;0,018;405,2;26;260,6
3,76;2,15;0,102;0,029;0,0089;0,052;0,02;0,008;0,001;0,05;0,018;405,2;26;260,6
3,68;2,08;0,092;0,027;0,0096;0,045;0,018;0,009;0,001;0,051;0,019;405,5;25,5;259
3,68;2,08;0,092;0,027;0,0096;0,045;0,018;0,009;0,001;0,051;0,019;405,5;25,5;259
3,51;2,17;0,104;0,027;0,0085;0,05;0,023;0,012;0,001;0,069;0,023;405,9;25,8;259,5
3,51;2,17;0,104;0,027;0,0085;0,05;0,023;0,012;0,001;0,069;0,023;405,9;25,8;259,5
